,acousticness,analysis_url,artist_discovery,artist_discovery_rank,artist_familiarity,artist_familiarity_rank,artist_hotttnesss,artist_hotttnesss_rank,artist_id,artist_location,artist_name,audio_md5,audio_summary,duration,energy,id,index,key,liveness,loudness,mode,song_currency,song_currency_rank,song_discovery,song_discovery_rank,song_hotttnesss,song_hotttnesss_rank,song_type,speechiness,tempo,time_signature,title,valence,year,band_singer,ranking,song,songurl,url
0,0.09143,http://echonest-analysis.s3.amazonaws.com/TR/epyZdQhqjYig9Xo8n2dHl80LqBEZFCnReSEUtHTsTWkoAh2abZHniT4EaKsBOVxUXPQU_acYYQE6xzR4o%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746521&Signature=DrGDBypiWvpJ4yL46oHWa/fQAlo%3D,0.359700591569,221738.0,0.822827,64.0,0.814542,189.0,ARKSZW81187B9B695D,"{u'latitude': 40.714269, u'location': u'New York, NY', u'longitude': -74.005973}",Mariah Carey,6671e02f970764a0a0cd19a334b62b8a,"{u'time_signature': 5, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/epyZdQhqjYig9Xo8n2dHl80LqBEZFCnReSEUtHTsTWkoAh2abZHniT4EaKsBOVxUXPQU_acYYQE6xzR4o%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746521&Signature=DrGDBypiWvpJ4yL46oHWa/fQAlo%3D', u'energy': 0.616778, u'liveness': 0.328686, u'tempo': 123.507, u'speechiness': 0.267907, u'acousticness': 0.09143, u'danceability': 0.609242, u'instrumentalness': 3.5e-05, u'key': 11, u'duration': 261.73624, u'loudness': -10.025, u'audio_md5': u'6671e02f970764a0a0cd19a334b62b8a', u'valence': 0.651922, u'mode': 0}",261.73624,0.616778,SOORURB14D63A4D714,0,11,0.328686,-10.025,0,0.0789535705868,5721.0,0.0,,0.542015,2246.0,"[studio, electric, vocal]",0.267907,123.507,5,We Belong Together,0.651922,2005,Mariah Carey,1.0,We Belong Together,/wiki/We_Belong_Together_(Mariah_Carey_song),/wiki/Mariah_Carey
1,0.388179,http://echonest-analysis.s3.amazonaws.com/TR/vJhPEg-SXwxzSOLOzuaxbdSoO-TDa-vn6pm9EnPuMg-Zapqzx-aD4-5t5lcxIAgTkdPolDCPmTxKLrTUU%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746524&Signature=Tj8erUUiW1RI82noZgPmlLBC6C8%3D,0.403618616403,109354.0,0.775424,189.0,0.800312,238.0,ARVBRGZ1187FB4675A,"{u'latitude': 33.870292, u'location': u'Fullerton, California', u'longitude': -117.925338}",Gwen Stefani,,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/vJhPEg-SXwxzSOLOzuaxbdSoO-TDa-vn6pm9EnPuMg-Zapqzx-aD4-5t5lcxIAgTkdPolDCPmTxKLrTUU%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746524&Signature=Tj8erUUiW1RI82noZgPmlLBC6C8%3D', u'energy': 0.910087, u'liveness': 0.024326, u'tempo': 110.039, u'speechiness': 0.09672, u'acousticness': 0.388179, u'danceability': 0.915552, u'instrumentalness': 1e-06, u'key': 10, u'duration': 199.85333, u'loudness': -2.116, u'audio_md5': u'', u'valence': 0.897375, u'mode': 0}",199.85333,0.910087,SONVOXZ144F507BAA2,10,10,0.024326,-2.116,0,0.0687055650895,7080.0,0.0054732319789,654041.0,0.58883,878.0,"[studio, electric, vocal]",0.09672,110.039,4,Hollaback Girl,0.897375,2005,Gwen Stefani,2.0,Hollaback Girl,/wiki/Hollaback_Girl,/wiki/Gwen_Stefani
2,0.126426,http://echonest-analysis.s3.amazonaws.com/TR/s1VqCAb-ps-cDxLWZRr0_kvka89aceph5JoCNRVL4WMKXItAwgn4N7u6Y6nyty-2v5zcq_Co23uB34xw8%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746527&Signature=X7XTjm%2BXDybAmJiMOOpe1ooVLVM%3D,0.353692612763,235210.0,0.689165,847.0,0.579688,6282.0,AR9BS5O1187FB5432D,"{u'latitude': 39.296536, u'location': u'Baltimore, MD', u'longitude': -76.623489}",Mario,,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/s1VqCAb-ps-cDxLWZRr0_kvka89aceph5JoCNRVL4WMKXItAwgn4N7u6Y6nyty-2v5zcq_Co23uB34xw8%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746527&Signature=X7XTjm%2BXDybAmJiMOOpe1ooVLVM%3D', u'energy': 0.680246, u'liveness': 0.114059, u'tempo': 94.556, u'speechiness': 0.031894, u'acousticness': 0.126426, u'danceability': 0.649943, u'instrumentalness': 2.4e-05, u'key': 7, u'duration': 224.08, u'loudness': -6.448, u'audio_md5': u'', u'valence': 0.509154, u'mode': 0}",224.08,0.680246,SOPPTQN12A8C13FC2A,20,7,0.114059,-6.448,0,0.0602715466352,9432.0,0.00661123748235,543279.0,0.506118,4391.0,"[studio, electric, vocal]",0.031894,94.556,4,Let Me Love You,0.509154,2005,Mario,3.0,Let Me Love You,/wiki/Let_Me_Love_You_(Mario_song),/wiki/Mario_(entertainer)
3,0.388041,http://echonest-analysis.s3.amazonaws.com/TR/KACoPAxVaz7Po4iFHHd2sVqWZt5KSkekA3rzqp7whf0Ds-wXUuXc9abLeWbRyIt1GsS6gFoyT7AqgDsoo%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746531&Signature=bEQVJrEtUU3qAqmPMfDLWAGs210%3D,0.372454716478,185958.0,0.778674,179.0,0.744667,647.0,ARJGIOD1187B9AE920,"{u'latitude': 32.492683, u'location': u'Burleson, TX', u'longitude': -97.264359}",Kelly Clarkson,,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/KACoPAxVaz7Po4iFHHd2sVqWZt5KSkekA3rzqp7whf0Ds-wXUuXc9abLeWbRyIt1GsS6gFoyT7AqgDsoo%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746531&Signature=bEQVJrEtUU3qAqmPMfDLWAGs210%3D', u'energy': 0.585006, u'liveness': 0.085401, u'tempo': 125.741, u'speechiness': 0.032859, u'acousticness': 0.388041, u'danceability': 0.623261, u'instrumentalness': 0.00209, u'key': 9, u'duration': 203.22667, u'loudness': -3.438, u'audio_md5': u'', u'valence': 0.151089, u'mode': 0}",203.22667,0.585006,SOSIAUZ144BD67C6D8,30,9,0.085401,-3.438,0,0.065053219956,7949.0,0.0,,0.491581,5717.0,"[studio, electric, vocal]",0.032859,125.741,4,Since U Been Gone,0.151089,2005,Kelly Clarkson,4.0,Since U Been Gone,/wiki/Since_U_Been_Gone,/wiki/Kelly_Clarkson
4,0.131584,http://echonest-analysis.s3.amazonaws.com/TR/lUnfRg2ixaABRKmQu1sgMRIEbgJpD_xizZ71rb/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746534&Signature=n95BqJ5ajLunc/%2BTlO/qpAw3OLI%3D,0.411970475435,92866.0,0.753892,280.0,0.77509,382.0,ARS2P621187FB37B82,"{u'latitude': 33.844371, u'location': u'Atlanta, Georgia', u'longitude': -84.47405}",Ciara,d658ace26f2fc5b38c120c5e1925f374,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/lUnfRg2ixaABRKmQu1sgMRIEbgJpD_xizZ71rb/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746534&Signature=n95BqJ5ajLunc/%2BTlO/qpAw3OLI%3D', u'energy': 0.875178, u'liveness': 0.050422, u'tempo': 125.997, u'speechiness': 0.057552, u'acousticness': 0.131584, u'danceability': 0.757638, u'instrumentalness': 0.503175, u'key': 7, u'duration': 282.17424, u'loudness': -4.89, u'audio_md5': u'd658ace26f2fc5b38c120c5e1925f374', u'valence': 0.972513, u'mode': 0}",282.17424,0.875178,SOGIXPY144BD39B9C9,40,7,0.050422,-4.89,0,0.00895590936926,71596.0,0.00214649273867,1529531.0,0.309091,133243.0,"[studio, electric]",0.057552,125.997,4,"1, 2 Step",0.972513,2005,Ciara,5.0,"1, 2 Step","/wiki/1,_2_Step",/wiki/Ciara
5,0.024174,http://echonest-analysis.s3.amazonaws.com/TR/CWoI9QydwPayglwJDTD5_9r1bZ2LiWHS9y6fc1/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746540&Signature=Er/3FeGpSiLFNxjHD8ISxgDttrs%3D,0.286884408574,513655.0,0.878044,8.0,0.795495,268.0,ARRH63Y1187FB47783,"{u'latitude': 41.902042, u'location': u'Chicago, IL', u'longitude': -87.658544}",Kanye West,0099d8a25bc70e4ad1da913110ac9e9c,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/CWoI9QydwPayglwJDTD5_9r1bZ2LiWHS9y6fc1/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746540&Signature=Er/3FeGpSiLFNxjHD8ISxgDttrs%3D', u'energy': 0.488154, u'liveness': 0.36438, u'tempo': 92.409, u'speechiness': 0.368397, u'acousticness': 0.024174, u'danceability': 0.686309, u'instrumentalness': 0.0, u'key': 1, u'duration': 221.08757, u'loudness': -14.169, u'audio_md5': u'0099d8a25bc70e4ad1da913110ac9e9c', u'valence': 0.561107, u'mode': 0}",221.08757,0.488154,SOGYKMG13E907CF822,60,1,0.36438,-14.169,0,0.0765997197571,5957.0,0.0,,0.602563,629.0,"[studio, electric, vocal]",0.368397,92.409,4,Gold Digger,0.561107,2005,Kanye West,6.0,Gold Digger,/wiki/Gold_Digger_(Kanye_West_song),/wiki/Kanye_West
6,0.291614,http://echonest-analysis.s3.amazonaws.com/TR/f5XZ0Ay2iwfG57XMyVaiNz8OziUg%3D%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746543&Signature=pfx6N%2B3U8Has3dSjEhoc6hHB1lU%3D,0.372892992197,,0.707016,,0.633295,,ARD5VN51187B9B8D29,"{u'latitude': 32.758408, u'location': u'Terrell, Texas ', u'longitude': -96.301323}",Jamie Foxx,849b62eabc3d15dec23b5a043eb8af72,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/f5XZ0Ay2iwfG57XMyVaiNz8OziUg%3D%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746543&Signature=pfx6N%2B3U8Has3dSjEhoc6hHB1lU%3D', u'energy': 0.7056, u'liveness': 0.394266, u'tempo': 102.662, u'speechiness': 0.044947, u'acousticness': 0.291614, u'danceability': 0.654749, u'instrumentalness': 0.0, u'key': 1, u'duration': 399.59955, u'loudness': -11.348, u'audio_md5': u'849b62eabc3d15dec23b5a043eb8af72', u'valence': 0.536715, u'mode': 1}",399.59955,0.7056,SOXUJAZ13E908D9F36,70,1,0.394266,-11.348,1,0.0,,0.0,,0.0,,"[studio, electric, vocal]",0.044947,102.662,4,Gold Digger/Extravaganza (Live on Letterman),0.536715,2005,Jamie Foxx,6.0,Gold Digger,/wiki/Gold_Digger_(Kanye_West_song),/wiki/Jamie_Foxx
7,0.403585,http://echonest-analysis.s3.amazonaws.com/TR/TRPZAFM12BEA96856D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746546&Signature=QpvXjCcYrTFeT2e35nSmpmXR5A8%3D,0.2851571502,524432.0,0.839451,40.0,0.681642,1582.0,ARV3CRH1187B9A1B21,"{u'latitude': 37.860576, u'location': u'Berkeley, CA', u'longitude': -122.29673}",Green Day,dc97504f79877361233b9689f7860f80,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/TRPZAFM12BEA96856D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746546&Signature=QpvXjCcYrTFeT2e35nSmpmXR5A8%3D', u'energy': 0.352255, u'liveness': 0.062534, u'tempo': 166.882, u'speechiness': 0.031152, u'acousticness': 0.403585, u'danceability': 0.550746, u'instrumentalness': 0.889549, u'key': 5, u'duration': 178.65098, u'loudness': -16.647, u'audio_md5': u'dc97504f79877361233b9689f7860f80', u'valence': 0.497987, u'mode': 0}",178.65098,0.352255,SOFKDJJ1373265C816,80,5,0.062534,-16.647,0,0.0,,0.0,,0.0,,[studio],0.031152,166.882,4,Boulevard Of Broken Dreams  (CLEAN),0.497987,2005,Green Day,7.0,Boulevard of Broken Dreams,/wiki/Boulevard_of_Broken_Dreams_(Green_Day_song),/wiki/Green_Day
8,0.034728,http://echonest-analysis.s3.amazonaws.com/TR/oH61ogUpw0Mao9FHUusFyHZnI2F6GYPZowZhpYERNjw36P97XsahCJUgPsvwhNxvLvyhV02sbQOm4wvbk%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746549&Signature=%2BLd52VPveJdjW756T9hL8Po0Cgg%3D,0.350918648696,242441.0,0.796365,124.0,0.735406,747.0,AR23C041187FB4D534,"{u'latitude': 40.6775, u'location': u'South Jamaica, New York, NY, US', u'longitude': -73.7875}",50 Cent,,"{u'time_signature': 5, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/oH61ogUpw0Mao9FHUusFyHZnI2F6GYPZowZhpYERNjw36P97XsahCJUgPsvwhNxvLvyhV02sbQOm4wvbk%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746549&Signature=%2BLd52VPveJdjW756T9hL8Po0Cgg%3D', u'energy': 0.56425, u'liveness': 0.390301, u'tempo': 122.74, u'speechiness': 0.454255, u'acousticness': 0.034728, u'danceability': 0.628167, u'instrumentalness': 6.5e-05, u'key': 11, u'duration': 208.70667, u'loudness': -8.408, u'audio_md5': u'', u'valence': 0.728874, u'mode': 1}",208.70667,0.56425,SOAWVYZ144BF0A532C,90,11,0.390301,-8.408,1,0.0628610084821,8586.0,0.00454731614289,801024.0,0.520112,3363.0,"[studio, electric, vocal]",0.454255,122.74,5,Candy Shop,0.728874,2005,50 Cent,8.0,Candy Shop,/wiki/Candy_Shop_(50_Cent_song),/wiki/50_Cent
9,0.005005,http://echonest-analysis.s3.amazonaws.com/TR/FPoppQ3Nb_8BvG6mqdLRmgmAVnO2pebk9j2fgH/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746556&Signature=7DHwsy1AwnPoFhBuZ/qc%2B2FQPm0%3D,0.415936815084,86522.0,0.635072,1851.0,0.617293,3279.0,AR0DVRJ1187B98CBF5,"{u'latitude': 34.0535, u'location': u'Los Angeles, CA, US', u'longitude': -118.245}",The Pussycat Dolls,09d708253bfcd2ee6116fabf2d603db4,"{u'time_signature': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/FPoppQ3Nb_8BvG6mqdLRmgmAVnO2pebk9j2fgH/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1448746556&Signature=7DHwsy1AwnPoFhBuZ/qc%2B2FQPm0%3D', u'energy': 0.274572, u'liveness': 0.137517, u'tempo': 120.0, u'speechiness': 0.169638, u'acousticness': 0.005005, u'danceability': 0.87137, u'instrumentalness': 2e-06, u'key': 1, u'duration': 282.84757, u'loudness': -17.933, u'audio_md5': u'09d708253bfcd2ee6116fabf2d603db4', u'valence': 0.589006, u'mode': 0}",282.84757,0.274572,SOIPHVH13E9063C12F,110,1,0.137517,-17.933,0,0.0715268836301,6585.0,0.0,,0.472036,8158.0,"[studio, electric, vocal]",0.169638,120.0,4,Don't Cha,0.589006,2005,The Pussycat Dolls,9.0,Don't Cha,/wiki/Don%27t_Cha,/wiki/The_Pussycat_Dolls
