,year,band_singer,ranking,song,songurl,url
0,1995,Coolio,1.0,Gangsta's Paradise,/wiki/Gangsta%27s_Paradise_(song),/wiki/Coolio
20,1995,L.V.,1.0,Gangsta's Paradise,/wiki/Gangsta%27s_Paradise_(song),/wiki/L.V._(singer)
40,1995,TLC,2.0,Waterfalls,/wiki/Waterfalls_(TLC_song),/wiki/TLC_(band)
60,1995,TLC,3.0,Creep,/wiki/Creep_(TLC_song),/wiki/TLC_(band)
80,1995,Seal,4.0,Kiss from a Rose,/wiki/Kiss_from_a_Rose,/wiki/Seal_(musician)
100,1995,Boyz II Men,5.0,On Bended Knee,/wiki/On_Bended_Knee,/wiki/Boyz_II_Men
120,1995,Real McCoy,6.0,Another Night,/wiki/Another_Night_(song),/wiki/Real_McCoy_(band)
140,1995,Mariah Carey,7.0,Fantasy,/wiki/Fantasy_(Mariah_Carey_song),/wiki/Mariah_Carey
160,1995,Madonna,8.0,Take a Bow,/wiki/Take_a_Bow_(Madonna_song),/wiki/Madonna_(entertainer)
180,1995,Monica,9.0,Don't Take It Personal (Just One of Dem Days),/wiki/Don%27t_Take_It_Personal_(Just_One_of_Dem_Days),/wiki/Monica_(singer)
200,1995,Montell Jordan,10.0,This Is How We Do It,/wiki/This_Is_How_We_Do_It,/wiki/Montell_Jordan
220,1995,Dionne Farris,11.0,I Know,/wiki/I_Know_(Dionne_Farris_song),/wiki/Dionne_Farris
240,1995,Boyz II Men,12.0,Water Runs Dry,/wiki/Water_Runs_Dry,/wiki/Boyz_II_Men
260,1995,Adina Howard,13.0,Freak Like Me,/wiki/Freak_Like_Me,/wiki/Adina_Howard
280,1995,Blues Traveler,14.0,Run-Around,/wiki/Run-Around_(song),/wiki/Blues_Traveler
300,1995,All-4-One,15.0,I Can Love You Like That,/wiki/I_Can_Love_You_Like_That,/wiki/All-4-One
320,1995,Bryan Adams,16.0,Have You Ever Really Loved a Woman?,/wiki/Have_You_Ever_Really_Loved_a_Woman%3F,/wiki/Bryan_Adams
340,1995,Bon Jovi,17.0,Always,/wiki/Always_(Bon_Jovi_song),/wiki/Bon_Jovi
360,1995,Shaggy,18.0,Boombastic,/wiki/Boombastic_(song),/wiki/Shaggy_(musician)
380,1995,Nicki French,19.0,Total Eclipse of the Heart,/wiki/Total_Eclipse_of_the_Heart#Cover_versions,/wiki/Nicki_French
400,1995,Des'ree,20.0,You Gotta Be,/wiki/You_Gotta_Be,/wiki/Des%27ree
420,1995,Michael Jackson,21.0,You Are Not Alone,/wiki/You_Are_Not_Alone,/wiki/Michael_Jackson
440,1995,Hootie & the Blowfish,22.0,Hold My Hand,/wiki/Hold_My_Hand_(Hootie_%26_the_Blowfish_song),/wiki/Hootie_%26_the_Blowfish
460,1995,The Notorious B.I.G.,23.0,One More Chance,/wiki/One_More_Chance_(The_Notorious_B.I.G._song),/wiki/The_Notorious_B.I.G.
480,1995,Ini Kamoze,24.0,Here Comes the Hotstepper,/wiki/Here_Comes_the_Hotstepper,/wiki/Ini_Kamoze
500,1995,Soul for Real,25.0,Candy Rain,/wiki/Candy_Rain_(song),/wiki/Soul_for_Real
520,1995,Hootie & the Blowfish,26.0,Let Her Cry,/wiki/Let_Her_Cry,/wiki/Hootie_%26_the_Blowfish
540,1995,Blessid Union of Souls,27.0,I Believe,/wiki/I_Believe_(Blessid_Union_of_Souls_song),/wiki/Blessid_Union_of_Souls
560,1995,TLC,28.0,Red Light Special,/wiki/Red_Light_Special,/wiki/TLC_(band)
580,1995,Janet Jackson,29.0,Runaway,/wiki/Runaway_(Janet_Jackson_song),/wiki/Janet_Jackson
600,1995,Sheryl Crow,30.0,Strong Enough,/wiki/Strong_Enough_(Sheryl_Crow_song),/wiki/Sheryl_Crow
620,1995,Vanessa Williams,31.0,Colors of the Wind,/wiki/Colors_of_the_Wind,/wiki/Vanessa_L._Williams
640,1995,Jon B.,32.0,Someone to Love,/wiki/Someone_to_Love_(Jon_B._song),/wiki/Jon_B.
660,1995,Hootie & the Blowfish,33.0,Only Wanna Be with You,/wiki/Only_Wanna_Be_with_You,/wiki/Hootie_%26_the_Blowfish
680,1995,Brownstone,34.0,If You Love Me,/wiki/If_You_Love_Me_(Brownstone_song),/wiki/Brownstone_(group)
700,1995,Martin Page,35.0,In the House of Stone and Light,/wiki/In_the_House_of_Stone_and_Light,/wiki/Martin_Page
720,1995,Luniz,36.0,I Got 5 on It,/wiki/I_Got_5_on_It,/wiki/Luniz
740,1995,Brandy,37.0,Baby,/wiki/Baby_(Brandy_Norwood_song),/wiki/Brandy_Norwood
760,1995,Real McCoy,38.0,Run Away,/wiki/Run_Away_(Real_McCoy_song),/wiki/Real_McCoy_(band)
780,1995,Sophie B. Hawkins,39.0,As I Lay Me Down,/wiki/As_I_Lay_Me_Down,/wiki/Sophie_B._Hawkins
800,1995,Mokenstef,40.0,He's Mine,/wiki/He%27s_Mine_(MoKenStef_song),/wiki/Mokenstef
820,1995,Collective Soul,41.0,December,/wiki/December_(Collective_Soul_song),/wiki/Collective_Soul
840,1995,Method Man,42.0,I'll Be There for You/You're All I Need to Get By,/wiki/I%27ll_Be_There_for_You/You%27re_All_I_Need_to_Get_By,/wiki/Method_Man
860,1995,Mary J. Blige,42.0,I'll Be There for You/You're All I Need to Get By,/wiki/I%27ll_Be_There_for_You/You%27re_All_I_Need_to_Get_By,/wiki/Mary_J._Blige
880,1995,Diana King,43.0,Shy Guy,/wiki/Shy_Guy_(song),/wiki/Diana_King
900,1995,Melissa Etheridge,44.0,I'm the Only One,/wiki/I%27m_the_Only_One,/wiki/Melissa_Etheridge
920,1995,Soul for Real,45.0,Every Little Thing I Do,/wiki/Every_Little_Thing_I_Do,/wiki/Soul_for_Real
940,1995,Blackstreet,46.0,Before I Let You Go,/wiki/Before_I_Let_You_Go,/wiki/Blackstreet
960,1995,The Notorious B.I.G.,47.0,Big Poppa,/wiki/Big_Poppa,/wiki/The_Notorious_B.I.G.
980,1995,4 P.M.,48.0,Sukiyaki,/wiki/Sukiyaki_(song),/wiki/4_P.M._(group)
1000,1995,Brandy,49.0,I Wanna Be Down,/wiki/I_Wanna_Be_Down,/wiki/Brandy_Norwood
1020,1995,Boyz II Men,50.0,I'll Make Love to You,/wiki/I%27ll_Make_Love_to_You,/wiki/Boyz_II_Men
1040,1995,2Pac,51.0,Dear Mama,/wiki/Dear_Mama,/wiki/Tupac_Shakur
1060,1995,Dr. Dre,53.0,Keep Their Heads Ringin',/wiki/Keep_Their_Heads_Ringin%27,/wiki/Dr._Dre
1080,1995,Corona,54.0,The Rhythm of the Night,/wiki/The_Rhythm_of_the_Night_(song),/wiki/Corona_(group)
1100,1995,Del Amitri,55.0,Roll to Me,/wiki/Roll_to_Me,/wiki/Del_Amitri
1120,1995,Michael Jackson,56.0,Scream,/wiki/Scream/Childhood,/wiki/Michael_Jackson
1140,1995,Janet Jackson,56.0,Scream,/wiki/Scream/Childhood,/wiki/Janet_Jackson
1160,1995,Jodeci,57.0,Freek'n You,/wiki/Freek%27n_You,/wiki/Jodeci
1180,1995,Skee-Lo,58.0,I Wish,/wiki/I_Wish_(Skee-Lo_song),/wiki/Skee-Lo
1200,1995,Elton John,59.0,Believe,/wiki/Believe_(Elton_John_song),/wiki/Elton_John
1220,1995,Natalie Merchant,60.0,Carnival,/wiki/Carnival_(Natalie_Merchant_song),/wiki/Natalie_Merchant
1240,1995,Tom Petty,61.0,You Don't Know How It Feels,/wiki/You_Don%27t_Know_How_It_Feels,/wiki/Tom_Petty
1260,1995,Take That,62.0,Back for Good,/wiki/Back_for_Good,/wiki/Take_That
1280,1995,69 Boyz,63.0,Tootsee Roll,/wiki/Tootsee_Roll,/wiki/69_Boyz
1300,1995,Janet Jackson,64.0,You Want This,/wiki/You_Want_This,/wiki/Janet_Jackson
1320,1995,Groove Theory,65.0,Tell Me,/wiki/Tell_Me_(Groove_Theory_song),/wiki/Groove_Theory
1340,1995,Total,66.0,Can't You See,/wiki/Can%27t_You_See_(Total_song),/wiki/Total_(band)
1360,1995,The Notorious B.I.G.,66.0,Can't You See,/wiki/Can%27t_You_See_(Total_song),/wiki/The_Notorious_B.I.G.
1380,1995,Sheryl Crow,67.0,All I Wanna Do,/wiki/All_I_Wanna_Do_(Sheryl_Crow_song),/wiki/Sheryl_Crow
1400,1995,Subway,68.0,This Lil' Game We Play,/wiki/This_Lil%27_Game_We_Play,/wiki/Subway_(group)
1420,1995,702,68.0,This Lil' Game We Play,/wiki/This_Lil%27_Game_We_Play,/wiki/702_(band)
1440,1995,Real McCoy,69.0,Come and Get Your Love,/wiki/Come_and_Get_Your_Love#Real_McCoy_version,/wiki/Real_McCoy_(band)
1460,1995,Bon Jovi,70.0,This Ain't a Love Song,/wiki/This_Ain%27t_a_Love_Song,/wiki/Bon_Jovi
1480,1995,Madonna,71.0,Secret,/wiki/Secret_(Madonna_song),/wiki/Madonna_(entertainer)
1500,1995,Junior M.A.F.I.A.,72.0,Player's Anthem,/wiki/Player%27s_Anthem,/wiki/Junior_M.A.F.I.A.
1520,1995,The Notorious B.I.G.,72.0,Player's Anthem,/wiki/Player%27s_Anthem,/wiki/The_Notorious_B.I.G.
1540,1995,Naughty by Nature,73.0,Feel Me Flow,/wiki/Feel_Me_Flow,/wiki/Naughty_by_Nature
1560,1995,Jade,74.0,Every Day of the Week,/wiki/Every_Day_of_the_Week,/wiki/Jade_(American_group)
1580,1995,Vanessa Williams,75.0,The Sweetest Days,/wiki/The_Sweetest_Days_(Vanessa_Williams_song),/wiki/Vanessa_L._Williams
1600,1995,20 Fingers,76.0,Short Dick Man,/wiki/Short_Dick_Man,/wiki/20_Fingers
1620,1995,Gillette,76.0,Short Dick Man,/wiki/Short_Dick_Man,/wiki/Gillette_(singer)
1640,1995,Brandy,77.0,Brokenhearted,/wiki/Brokenhearted_(Brandy_Norwood_song),/wiki/Brandy_(entertainer)
1660,1995,Wanya Morris,77.0,Brokenhearted,/wiki/Brokenhearted_(Brandy_Norwood_song),/wiki/Wanya_Morris
1680,1995,Annie Lennox,78.0,No More I Love You's,/wiki/No_More_I_Love_You%27s#Annie_Lennox_version,/wiki/Annie_Lennox
