,acousticness,analysis_url,artist_discovery,artist_discovery_rank,artist_familiarity,artist_familiarity_rank,artist_hotttnesss,artist_hotttnesss_rank,artist_id,artist_location,artist_name,audio_md5,audio_summary,danceability,duration,energy,id,index,key,liveness,loudness,mode,song_currency,song_currency_rank,song_discovery,song_discovery_rank,song_hotttnesss,song_hotttnesss_rank,song_type,speechiness,tempo,time_signature,title,valence,date,first_ranking,billboard_year,billboard_week,latitude,longitude,location,location_lower,lower_title,lower_artist,year,band_singer,ranking,song,songurl,url
0,0.023664,http://echonest-analysis.s3.amazonaws.com/TR/PzE8pAbtZBJ45JuUvAhSOOW0NRUbgRLBE5vUj2X-1DMl3stiux6aAfewrVGDLwxoDN-dtlEwJIbQbPQBs%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708213&Signature=lnE350AkC67LfWgtC2d/xQxYh7w%3D,0.369704265768,,0.673539,,0.588086,,ARN7POH1187B9B301E,"{u'latitude': 32.576489, u'location': u'Abilene, TX', u'longitude': -99.665323}",Jessica Simpson,510d03f7f7773ffe84bd6365e75dfc45,"{u'key': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/PzE8pAbtZBJ45JuUvAhSOOW0NRUbgRLBE5vUj2X-1DMl3stiux6aAfewrVGDLwxoDN-dtlEwJIbQbPQBs%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708213&Signature=lnE350AkC67LfWgtC2d/xQxYh7w%3D', u'energy': 0.872039, u'liveness': 0.033556, u'tempo': 130.18, u'speechiness': 0.04487, u'mode': 0, u'acousticness': 0.023664, u'danceability': 0.644058, u'time_signature': 4, u'duration': 232.59955, u'loudness': -9.151, u'audio_md5': u'510d03f7f7773ffe84bd6365e75dfc45', u'valence': 0.626382, u'instrumentalness': 8e-06}",0.644058,232.59955,0.872039,SOZYMAL14B5D7A5698,2,4,0.033556,-9.151,0,0.00636656716418,,0.0,,0.355779,,"[studio, electric, vocal]",0.04487,130.18,4,I Wanna Love You Forever,0.626382,2000-01-01,3,2015.0,6.0,51.5118,-0.20594,"Notting Hill, London, England, GB","notting hill, london, england, gb",i wanna love you forever,jessica simpson,2000.0,Jessica Simpson,56.0,I Wanna Love You Forever,/wiki/I_Wanna_Love_You_Forever,/wiki/Jessica_Simpson
1,0.046606,http://echonest-analysis.s3.amazonaws.com/TR/7tDxCgKC2nMK7Y86MGUUX15vCP7NgM9eKRKEIpfFQoloKxj_xjFP0vj89Jjq2wwxX27dghzrblZfghFL4%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708217&Signature=ADo%2BAVjumbjVIshXDsDqpvg9WBM%3D,0.299032719754,437039.0,0.811461,83.0,0.654229,1358.0,AR30R5E1187B9AD78A,"{u'latitude': 40.736101, u'location': u'Newark, NJ', u'longitude': -74.22509}",Whitney Houston,24aa3d1259e3480900721571bc4fe8d6,"{u'key': 0, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/7tDxCgKC2nMK7Y86MGUUX15vCP7NgM9eKRKEIpfFQoloKxj_xjFP0vj89Jjq2wwxX27dghzrblZfghFL4%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708217&Signature=ADo%2BAVjumbjVIshXDsDqpvg9WBM%3D', u'energy': 0.84701, u'liveness': 0.066933, u'tempo': 134.98, u'speechiness': 0.037339, u'mode': 1, u'acousticness': 0.046606, u'danceability': 0.660295, u'time_signature': 4, u'duration': 258.09288, u'loudness': -6.398, u'audio_md5': u'24aa3d1259e3480900721571bc4fe8d6', u'valence': 0.510183, u'instrumentalness': 0.001372}",0.660295,258.09288,0.84701,SOPBEQQ12B0B80B9BD,3,0,0.066933,-6.398,1,0.0286596958175,24931.0,0.00206811202279,1561470.0,0.461754,9856.0,"[studio, electric, vocal]",0.037339,134.98,4,My Love Is Your Love,0.510183,2000-01-01,4,2015.0,6.0,52.166667,1.0,"Suffolk, England","suffolk, england",my love is your love,whitney houston,2000.0,Whitney Houston,47.0,My Love Is Your Love,/wiki/My_Love_Is_Your_Love_(song),/wiki/Whitney_Houston
2,0.240021,http://echonest-analysis.s3.amazonaws.com/TR/rYkxmAJtO4-Rqx4tnXGbrBjsrcRr3xxsIsnQOKgUJCP4ex4xYOd5LLx6kEeYV377c01VB6220zIkRTCyI%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708246&Signature=Qw7HT/Vt87Q3F1Z5heanbdAJQwE%3D,0.453045516553,30544.0,0.561868,5061.0,0.596687,2763.0,AR6JVK31187FB58FE3,"{u'latitude': 45.05, u'location': u'Turin, Italy', u'longitude': 7.6666667}",Eiffel 65,,"{u'key': 7, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/rYkxmAJtO4-Rqx4tnXGbrBjsrcRr3xxsIsnQOKgUJCP4ex4xYOd5LLx6kEeYV377c01VB6220zIkRTCyI%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708246&Signature=Qw7HT/Vt87Q3F1Z5heanbdAJQwE%3D', u'energy': 0.971241, u'liveness': 0.38653, u'tempo': 127.982, u'speechiness': 0.052639, u'mode': 0, u'acousticness': 0.240021, u'danceability': 0.812507, u'time_signature': 4, u'duration': 210.18667, u'loudness': -6.81, u'audio_md5': u'', u'valence': 0.795222, u'instrumentalness': 0.0}",0.812507,210.18667,0.971241,SOOAIRU146168415C1,12,7,0.38653,-6.81,0,0.05570779991,11236.0,0.00631123073718,567371.0,0.471915,8139.0,"[studio, electric, vocal]",0.052639,127.982,4,Blue (Da Ba Dee),0.795222,2000-01-01,13,2015.0,6.0,40.357242,-75.940153,"Reading, PA","reading, pa",blue (da ba dee),eiffel 65,2000.0,Eiffel 65,49.0,Blue (Da Ba Dee),/wiki/Blue_(Da_Ba_Dee),/wiki/Eiffel_65
3,0.161116,http://echonest-analysis.s3.amazonaws.com/TR/OqQfGwgchirt2a9I0b5_V1AhJ2Wu90g6n9QUyR/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708267&Signature=Dn0GEnC/SPQH2f/HoTZVld4KwVI%3D,0.416271953074,,0.542365,,0.53219,,ARM8DAD1187B993E2E,"{u'latitude': 26.0657, u'location': u'Davie, FL, US', u'longitude': -80.2349}",Guy,a533657e04f50cb451677695ce32c756,"{u'key': 1, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/OqQfGwgchirt2a9I0b5_V1AhJ2Wu90g6n9QUyR/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708267&Signature=Dn0GEnC/SPQH2f/HoTZVld4KwVI%3D', u'energy': 0.337699, u'liveness': 0.185389, u'tempo': 101.108, u'speechiness': 0.15172, u'mode': 1, u'acousticness': 0.161116, u'danceability': 0.833038, u'time_signature': 4, u'duration': 281.56757, u'loudness': -16.155, u'audio_md5': u'a533657e04f50cb451677695ce32c756', u'valence': 0.70558, u'instrumentalness': 1e-06}",0.833038,281.56757,0.337699,SOQSRPK13E90787CD5,18,1,0.185389,-16.155,1,0.0,,0.0,,0.0,,"[studio, electric, vocal]",0.15172,101.108,4,Dancin',0.70558,2000-01-01,19,2015.0,6.0,13.083333,80.283333,"Chennai, India","chennai, india",dancin',guy,,,,,,
4,0.562595,http://echonest-analysis.s3.amazonaws.com/TR/jCUsRwdKqCvs4rtQdanRRXQ4SkXkGkcXjg-0XdrS_TwivLmMeVJ08oevgfhQ%3D%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708270&Signature=FbMyj359HWzaUm1zzEFYIaqHW8M%3D,0.487269782264,5662.0,0.417185,31892.0,0.521144,11716.0,AR8VNGZ1187FB4168D,"{u'latitude': 43.6486, u'location': u'Toronto, Ontario, CA', u'longitude': -79.3853}",LEN,6ab709aba3e5f7f1b7bf1892307d7c89,"{u'key': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/jCUsRwdKqCvs4rtQdanRRXQ4SkXkGkcXjg-0XdrS_TwivLmMeVJ08oevgfhQ%3D%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708270&Signature=FbMyj359HWzaUm1zzEFYIaqHW8M%3D', u'energy': 0.680611, u'liveness': 0.579321, u'tempo': 96.171, u'speechiness': 0.068707, u'mode': 1, u'acousticness': 0.562595, u'danceability': 0.580348, u'time_signature': 4, u'duration': 203.04934, u'loudness': -19.717, u'audio_md5': u'6ab709aba3e5f7f1b7bf1892307d7c89', u'valence': 0.729627, u'instrumentalness': 0.0}",0.580348,203.04934,0.680611,SOAEYTC144D7F51291,19,4,0.579321,-19.717,1,0.0457660226202,15729.0,0.0,,0.508462,4178.0,"[studio, vocal]",0.068707,96.171,4,Steal My Sunshine,0.729627,2000-01-01,20,2015.0,6.0,52.05,4.5,"Zoetermeer, Netherlands","zoetermeer, netherlands",steal my sunshine,len,,,,,,
5,0.140899,http://echonest-analysis.s3.amazonaws.com/TR/ew8f1gvIAnkfvFEOUk_gEY4U7J-Z4obBWp5GYOS9-wAnPUJgF7mXdnI3tNIZEgkMhJ7me0VsdY90Dkpv4%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708280&Signature=cqOA2/FzU%2BESI3OPJIGwImSpTGY%3D,0.410532267219,86874.0,0.553637,5589.0,0.533904,8863.0,ARXSWYK12BF959F4BC,"{u'latitude': 33.973951, u'location': u'los angeles, ca', u'longitude': -118.248405}",Montell Jordan,,"{u'key': 6, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/ew8f1gvIAnkfvFEOUk_gEY4U7J-Z4obBWp5GYOS9-wAnPUJgF7mXdnI3tNIZEgkMhJ7me0VsdY90Dkpv4%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708280&Signature=cqOA2/FzU%2BESI3OPJIGwImSpTGY%3D', u'energy': 0.627769, u'liveness': 0.094525, u'tempo': 101.944, u'speechiness': 0.14189, u'mode': 1, u'acousticness': 0.140899, u'danceability': 0.843638, u'time_signature': 4, u'duration': 206.75048, u'loudness': -9.097, u'audio_md5': u'', u'valence': 0.876717, u'instrumentalness': 3.9e-05}",0.843638,206.75048,0.627769,SOQDKCW14C5E4F1227,20,6,0.094525,-9.097,1,0.00695282542886,88978.0,0.0183503924394,119250.0,0.391839,35546.0,"[studio, electric, vocal]",0.14189,101.944,4,Get It on Tonite,0.876717,2000-01-01,21,2015.0,6.0,52.166667,1.0,"Suffolk, England","suffolk, england",get it on tonite,montell jordan,2000.0,Montell Jordan,24.0,Get It On Tonite,/wiki/Get_It_On_Tonite,/wiki/Montell_Jordan
6,1.8e-05,http://echonest-analysis.s3.amazonaws.com/TR/UT-C3Qoai2YBPOaO6ta8cvU8amYNgSp5-poslh35I_Z9KKjLZdMUHNrma5966tlkotEPtgVXRFmMT1PXI%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708291&Signature=UR9voR6mQ9gLgcBdBInx2IZvynE%3D,0.314304527811,366309.0,0.856128,24.0,0.797472,97.0,AR6XPWV1187B9ADAEB,"{u'latitude': 47.6036, u'location': u'Seattle, WA, US', u'longitude': -122.329}",Foo Fighters,,"{u'key': 4, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/UT-C3Qoai2YBPOaO6ta8cvU8amYNgSp5-poslh35I_Z9KKjLZdMUHNrma5966tlkotEPtgVXRFmMT1PXI%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708291&Signature=UR9voR6mQ9gLgcBdBInx2IZvynE%3D', u'energy': 0.918509, u'liveness': 0.262358, u'tempo': 135.997, u'speechiness': 0.040788, u'mode': 1, u'acousticness': 1.8e-05, u'danceability': 0.464879, u'time_signature': 4, u'duration': 235.29333, u'loudness': -4.025, u'audio_md5': u'', u'valence': 0.537487, u'instrumentalness': 2.1e-05}",0.464879,235.29333,0.918509,SODACBL12A8C13C273,21,4,0.262358,-4.025,1,0.0639058260641,8287.0,0.00181940046753,1708587.0,0.678035,146.0,"[studio, electric, vocal]",0.040788,135.997,4,Learn To Fly,0.537487,2000-01-01,22,2015.0,6.0,42.0756,-87.7077,"Wilmette, IL, US","wilmette, il, us",learn to fly,foo fighters,,,,,,
7,0.429613,http://echonest-analysis.s3.amazonaws.com/TR/TRQEJGC12BF9985539/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708294&Signature=imDGt8p6BYSKiLbKga9uBx4E/Bk%3D,0.37714314684,,0.650075,,0.574692,,ARE3LP51187B9ACD29,"{u'latitude': 32.931523, u'location': u'Garland, TX', u'longitude': -96.615821}",LeAnn Rimes,3b938965dabe3332fb1c1eed46ffd965,"{u'key': 9, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/TRQEJGC12BF9985539/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708294&Signature=imDGt8p6BYSKiLbKga9uBx4E/Bk%3D', u'energy': 0.503542, u'liveness': 0.095771, u'tempo': 154.571, u'speechiness': 0.033323, u'mode': 1, u'acousticness': 0.429613, u'danceability': 0.579495, u'time_signature': 4, u'duration': 180.45342, u'loudness': -15.759, u'audio_md5': u'3b938965dabe3332fb1c1eed46ffd965', u'valence': 0.786931, u'instrumentalness': 0.470995}",0.579495,180.45342,0.503542,SOCZLQT12B3A14D0AE,22,9,0.095771,-15.759,1,0.000461538461538,,0.0,,0.188182,,[studio],0.033323,154.571,4,Big Deal,0.786931,2000-01-01,23,2015.0,6.0,34.0535,-118.245,"Los Angeles, CA, US","los angeles, ca, us",big deal,leann rimes,,,,,,
8,0.08631,http://echonest-analysis.s3.amazonaws.com/TR/lJ5fAQwbW2wlPsMvc3pPyzuPQIqRluD3Bv16iE2JiF7qin4u4fcLLOp48BtY_bm4LhCIBDNhrnH-gpFjE%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708298&Signature=685BTfrJEffxGgCzfU2qODhHn5Q%3D,0.425656943069,63748.0,0.701322,731.0,0.71462,562.0,ARICCZI1187B9AEBB3,"{u'latitude': 37.784827, u'location': u'San Francisco, CA', u'longitude': -122.727802}",Train,,"{u'key': 7, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/lJ5fAQwbW2wlPsMvc3pPyzuPQIqRluD3Bv16iE2JiF7qin4u4fcLLOp48BtY_bm4LhCIBDNhrnH-gpFjE%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708298&Signature=685BTfrJEffxGgCzfU2qODhHn5Q%3D', u'energy': 0.553195, u'liveness': 0.117629, u'tempo': 90.02, u'speechiness': 0.048594, u'mode': 1, u'acousticness': 0.08631, u'danceability': 0.67491, u'time_signature': 4, u'duration': 239.93333, u'loudness': -7.775, u'audio_md5': u'', u'valence': 0.570072, u'instrumentalness': 8e-06}",0.67491,239.93333,0.553195,SOBRBGZ13129A904D6,23,7,0.117629,-7.775,1,0.0404196157735,17970.0,0.00348041613239,1026137.0,0.491424,5712.0,"[studio, electric, vocal]",0.048594,90.02,4,Meet Virginia,0.570072,2000-01-01,24,2015.0,6.0,51.5734,0.14148,"Chadwell Heath, London, England, GB","chadwell heath, london, england, gb",meet virginia,train,2000.0,Train,70.0,Meet Virginia,/wiki/Meet_Virginia,/wiki/Train_(band)
9,0.081441,http://echonest-analysis.s3.amazonaws.com/TR/A5GAFAKsaRSgwS_feiRMqFsxzLkATB_xJOHTgSaUFrVxDGa85tfRVwwvanWZWV4moFZyGTT-GOKruZ42c%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708301&Signature=o%2BPx/seuLeKO3mmRIXlKfyNHlxg%3D,0.366986738742,192198.0,0.709911,635.0,0.62697,1868.0,ARZSKZU1187FB4CE1E,"{u'latitude': 33.844371, u'location': u'Atlanta, GA', u'longitude': -84.47405}",TLC,53033015603b8ded5c93281ffb930e9b,"{u'key': 0, u'analysis_url': u'http://echonest-analysis.s3.amazonaws.com/TR/A5GAFAKsaRSgwS_feiRMqFsxzLkATB_xJOHTgSaUFrVxDGa85tfRVwwvanWZWV4moFZyGTT-GOKruZ42c%3D/3/full.json?AWSAccessKeyId=AKIAJRDFEY23UEVW42BQ&Expires=1449708301&Signature=o%2BPx/seuLeKO3mmRIXlKfyNHlxg%3D', u'energy': 0.865331, u'liveness': 0.261487, u'tempo': 117.001, u'speechiness': 0.051622, u'mode': 1, u'acousticness': 0.081441, u'danceability': 0.753812, u'time_signature': 4, u'duration': 239.86621, u'loudness': -5.502, u'audio_md5': u'53033015603b8ded5c93281ffb930e9b', u'valence': 0.760031, u'instrumentalness': 0.002675}",0.753812,239.86621,0.865331,SOQVCTI13D3EC87008,24,0,0.261487,-5.502,1,0.0237474690024,29620.0,0.00782523286415,421778.0,0.450943,12031.0,"[studio, electric, vocal]",0.051622,117.001,4,Unpretty,0.760031,2000-01-01,25,2015.0,6.0,33.844371,-84.47405,"Atlanta, Georgia","atlanta, georgia",unpretty,tlc,,,,,,
