,Unnamed: 0,artist,date,ranking,title
2913,43426,Carrie Underwood,2008-04-26,27,Praying For Time
2914,43442,American Idol Top 8,2008-04-26,43,Shout To The Lord
2916,43479,Annie Lennox,2008-04-26,80,Many Rivers To Cross
2931,43678,Usher,2008-05-10,79,"Love In This Club, Part II"
2936,43695,Ashlee Simpson With Tom Higgenson,2008-05-10,96,Little Miss Obsessive
2963,44014,David Cook,2008-06-07,15,Dream Big
2964,44021,David Cook,2008-06-07,22,I Still Haven't Found What I'm Looking For
2965,44027,David Cook,2008-06-07,28,The World I Know
2968,44041,David Cook,2008-06-07,42,I Don't Want To Miss A Thing
2969,44046,David Cook,2008-06-07,47,Billie Jean
2970,44057,David Archuleta,2008-06-07,58,Don't Let The Sun Go Down On Me
2971,44059,David Archuleta,2008-06-07,60,In This Moment
2972,44066,David Cook,2008-06-07,67,Always Be My Baby
2973,44072,David Cook,2008-06-07,73,Hello
2974,44076,David Cook,2008-06-07,77,The Music Of The Night
2977,44091,David Cook,2008-06-07,92,Eleanor Rigby
2980,44098,David Cook,2008-06-07,99,I'm Alive
3020,44593,Rehab,2008-07-12,94,Bartender Song
3028,44738,DJ Khaled Feat. Akon,2008-07-26,39,Out Here Grindin'
3067,45264,Kid Rock,2008-08-30,65,All Summer Long
3072,45297,Colbie Caillat,2008-08-30,98,Somethin' Special
3075,45384,Estelle,2008-09-06,85,American Boy
3078,45458,Ludacris Co-Starring Chris Brown,2008-09-13,59,What Them Girls Like
3089,45593,High School Musical 3 Cast,2008-09-20,94,Now Or Never
3105,45737,Kid Rock,2008-10-04,38,All Summer Long
3131,46042,Kenny Chesney,2008-10-25,43,Everybody Wants To Go To Heaven
3142,46165,Brad Paisley,2008-11-01,66,Start A Band
3159,46299,Zac Efron,2008-11-08,100,Can I Have This Dance
3162,46385,Ludacris Co-Starring T-Pain,2008-11-15,86,One More Drink
3202,46764,Ludacris Co-Starring Lil Wayne,2008-12-13,65,Last Of A Dying Breed
3209,46884,Kenny Chesney,2008-12-20,85,Down The Road
3229,47170,Soulja Boy,2009-01-10,71,Kiss Me Thru The Phone
3230,47171,The Lonely Island,2009-01-10,72,Jizz in My Pants
3249,47595,Mims,2009-02-07,96,Move
3265,47839,Coldplay,2009-02-28,40,Lost!
3268,47867,Lily Allen,2009-02-28,68,Fuck You
3273,47908,Soulja Boy,2009-03-07,9,Kiss Me Thru The Phone
3278,48014,A.R. Rahman,2009-03-14,15,Jai Ho
3302,48197,Soulja Boy,2009-03-21,98,Turn My Swag On
3357,48931,Eminem,2009-05-16,32,3 a.m.
3373,49098,Fast Life Yungstaz,2009-05-23,99,Swag Surfin'
3389,49236,Kris Allen,2009-06-06,37,Ain't No Sunshine
3393,49255,Adam Lambert,2009-06-06,56,A Change Is Gonna Come
3394,49265,Kris Allen,2009-06-06,66,Apologize
3398,49293,Kris Allen,2009-06-06,94,Falling Slowly
3411,49471,Twista,2009-06-20,72,Wetter
3436,49792,Keyshia Cole,2009-07-11,93,Trust
3439,49811,Colbie Caillat,2009-07-18,12,Fallin' For You
3443,49881,Demi Lovato,2009-07-18,82,One And The Same
3454,50079,OneRepublic,2009-08-01,80,Come Home
3491,50490,Chris Young,2009-08-29,91,Gettin' You Home
3492,50589,Kenny Chesney,2009-09-05,90,I'm Alive
3517,50849,Jay-Z,2009-09-26,50,Empire State Of Mind
3524,50939,Drake,2009-10-03,40,I'm Goin In
3539,51096,P!nk,2009-10-10,97,Funhouse
3569,51387,Thirty Seconds to Mars,2009-10-31,88,Kings And Queens
3603,51749,New Boyz Feat. Ray J,2009-11-28,50,Tie Me Down
3639,52039,Trey Songz Featruing Fabolous,2009-12-19,40,Say Aah
3687,52677,Jay-Z,2010-01-30,78,On To The Next One
3695,52715,Jay-Z,2010-02-06,16,Stranded
3699,52846,Sheryl Crow,2010-02-13,47,Lean On Me
3700,52871,Taylor Swift,2010-02-13,72,Breathless
3702,52891,Eddie Vedder,2010-02-13,92,My City of Ruins
3704,52897,Jennifer Hudson,2010-02-13,98,Let It Be
3707,52917,P!nk,2010-02-20,18,Glitter In The Air
3712,52975,Lil Wayne,2010-02-20,76,Fuck Today
