,artist,date,ranking,title
0,Santana,2000-01-01,1,Smooth
1,Brian McKnight,2000-01-01,2,Back At One
2,Jessica Simpson,2000-01-01,3,I Wanna Love You Forever
3,Whitney Houston,2000-01-01,4,My Love Is Your Love
4,Savage Garden,2000-01-01,5,I Knew I Loved You
5,Marc Anthony,2000-01-01,6,I Need To Know
6,"Missy ""Misdemeanor"" Elliott",2000-01-01,7,Hot Boyz
7,Donell Jones,2000-01-01,8,U Know What's Up
8,Blaque,2000-01-01,9,Bring It All To Me
9,LFO,2000-01-01,10,Girl On TV
10,Christina Aguilera,2000-01-01,11,What A Girl Wants
11,Kevon Edmonds,2000-01-01,12,24/7
12,Eiffel 65,2000-01-01,13,Blue (Da Ba Dee)
13,Smash Mouth,2000-01-01,14,Then The Morning Comes
14,Jagged Edge,2000-01-01,15,He Can't Love U
15,Jennifer Lopez,2000-01-01,16,Waiting For Tonight
16,Celine Dion,2000-01-01,17,That's The Way It Is
17,Christina Aguilera,2000-01-01,18,The Christmas Song (Chestnuts Roasting On An Open Fire)
18,Guy,2000-01-01,19,Dancin'
19,Len,2000-01-01,20,Steal My Sunshine
20,Montell Jordan,2000-01-01,21,Get It On Tonite
21,Foo Fighters,2000-01-01,22,Learn To Fly
22,LeAnn Rimes,2000-01-01,23,Big Deal
23,Train,2000-01-01,24,Meet Virginia
24,TLC,2000-01-01,25,Unpretty
25,Faith Hill,2000-01-01,26,Breathe
26,Juvenile,2000-01-01,27,Back That Thang Up
27,Sole,2000-01-01,28,"4, 5, 6"
28,IMx,2000-01-01,29,Stay The Night
29,M2M,2000-01-01,30,Don't Say You Love Me
30,702,2000-01-01,31,Where My Girls At?
31,Lou Bega,2000-01-01,32,Mambo No. 5 (A Little Bit Of...)
32,Counting Crows,2000-01-01,33,Hanginaround
33,Filter,2000-01-01,34,Take A Picture
34,Ideal,2000-01-01,35,Get Gone
35,Sugar Ray,2000-01-01,36,Someday
36,Brad Paisley,2000-01-01,37,He Didn't Have To Be
37,Ol' Dirty Bastard,2000-01-01,38,Got Your Money
38,Ricky Martin,2000-01-01,39,Shake Your Bon-Bon
39,Mint Condition,2000-01-01,40,If You Love Me
40,Goo Goo Dolls,2000-01-01,41,Black Balloon
41,Enrique Iglesias,2000-01-01,42,Rhythm Divine
42,Mariah Carey,2000-01-01,43,Thank God I Found You
43,Puff Daddy,2000-01-01,44,Satisfy You
44,Lonestar,2000-01-01,45,Amazed
45,Reba,2000-01-01,46,What Do You Say
46,Ice Cube,2000-01-01,47,You Can Do It
47,Dixie Chicks,2000-01-01,48,Cowboy Take Me Away
48,Clint Black,2000-01-01,49,When I Said I Do
49,Tim McGraw,2000-01-01,50,My Best Friend
50,Sisqo,2000-01-01,51,Got To Get It
51,Blink-182,2000-01-01,52,All The Small Things
52,98 Degrees,2000-01-01,53,This Gift
53,Kenny G,2000-01-01,54,Auld Lang Syne
54,Robbie Williams,2000-01-01,55,Angels
55,Destiny's Child,2000-01-01,56,Say My Name
56,Alan Jackson,2000-01-01,57,Pop A Top
57,Kelis,2000-01-01,58,Caught Out There
58,Marc Nelson,2000-01-01,59,15 Minutes
59,Mariah Carey,2000-01-01,60,Heartbreaker
60,Creed,2000-01-01,61,Higher
61,B.G.,2000-01-01,62,Bling Bling
62,Will Smith,2000-01-01,63,Will 2K
63,Mary J. Blige,2000-01-01,64,Deep Inside
64,Yankee Grey,2000-01-01,65,All Things Considered
65,Martina McBride,2000-01-01,66,I Love You
66,Amber,2000-01-01,67,Sexual (Li Da Di)
67,Ginuwine,2000-01-01,68,None Of Ur Friends Business
68,SHeDAISY,2000-01-01,69,Deck The Halls
69,D'Angelo,2000-01-01,70,Left & Right
70,Lonestar,2000-01-01,71,Smile
71,R.E.M.,2000-01-01,72,The Great Beyond
72,Destiny's Child,2000-01-01,73,Bug A Boo
73,Backstreet Boys,2000-01-01,74,Show Me The Meaning Of Being Lonely
74,Deborah Cox With R.L.,2000-01-01,75,We Can't Be Friends
75,Britney Spears,2000-01-01,76,(You Drive Me) Crazy
76,J-Shin,2000-01-01,77,One Night Stand
77,Limp Bizkit,2000-01-01,78,N 2 Gether Now
78,Angie Stone,2000-01-01,79,No More Rain (In This Cloud)
79,John Michael Montgomery,2000-01-01,80,Home To You
80,Bush,2000-01-01,81,The Chemicals Between Us
81,Lil' Wayne,2000-01-01,82,Tha Block Is Hot
82,Rage Against The Machine,2000-01-01,83,Guerrilla Radio
83,Clay Walker,2000-01-01,84,"Live, Laugh, Love"
84,The Notorious B.I.G.,2000-01-01,85,Notorious B.I.G.
85,Kenny Chesney,2000-01-01,86,She Thinks My Tractor's Sexy
86,Backstreet Boys,2000-01-01,87,Larger Than Life
87,Sixpence None The Richer,2000-01-01,88,There She Goes
88,Prince,2000-01-01,89,The Greatest Romance Ever Sold
89,Fatboy Slim,2000-01-01,90,The Rockafeller Skank
90,Chico DeBarge,2000-01-01,91,Give You What You Want (Fa Sure)
91,'N Sync,2000-01-01,92,Music Of My Heart
92,Chad Brock With Hank Williams Jr.,2000-01-01,93,A Country Boy Can Survive (Y2K Version)
93,Joe,2000-01-01,94,I Wanna Know
94,Limp Bizkit,2000-01-01,95,Re-arranged
95,Beth Hart,2000-01-01,96,L.A. Song
96,Eve,2000-01-01,97,Gotta Man
97,Joe Diffie,2000-01-01,98,The Quittin' Kind
98,Ty Herndon,2000-01-01,99,Steam
99,Nas,2000-01-01,100,NAStradamus
109,Donell Jones,2000-01-08,10,U Know What s Up
114,Jagged Edge,2000-01-08,15,He Can t Love U
116,Celine Dion,2000-01-08,17,That s The Way It Is
120,M2M,2000-01-08,21,Don t Say You Love Me
121,Guy,2000-01-08,22,Dancin
137,Ol  Dirty Bastard,2000-01-08,38,Got Your Money
143,Destiny s Child,2000-01-08,44,Say My Name
149,Brad Paisley,2000-01-08,50,He Didn t Have To Be
160,SheDaisy,2000-01-08,61,Deck The Halls
171,Lil  Wayne,2000-01-08,72,Tha Block Is Hot
176,Snoop Dogg Presents Tha Eastsidaz,2000-01-08,77,G d Up
180,Deborah Cox With R.L.,2000-01-08,81,We Can t Be Friends
182,Mariah Carey,2000-01-08,83,All I Want For Christmas Is You
187,Destiny s Child,2000-01-08,88,Bug A Boo
190,D Angelo,2000-01-08,91,Left
