,Unnamed: 0,artist,date,ranking,title
6,6,"Missy ""Misdemeanor"" Elliott",2000-01-01,7,Hot Boyz
9,9,LFO,2000-01-01,10,Girl On TV
17,17,Christina Aguilera,2000-01-01,18,The Christmas Song (Chestnuts Roasting On An Open Fire)
43,43,Puff Daddy,2000-01-01,44,Satisfy You
52,52,98 Degrees,2000-01-01,53,This Gift
74,74,Deborah Cox With R.L.,2000-01-01,75,We Can't Be Friends
92,92,Chad Brock With Hank Williams Jr.,2000-01-01,93,A Country Boy Can Survive (Y2K Version)
100,109,Donell Jones,2000-01-08,10,U Know What s Up
101,114,Jagged Edge,2000-01-08,15,He Can t Love U
102,116,Celine Dion,2000-01-08,17,That s The Way It Is
103,120,M2M,2000-01-08,21,Don t Say You Love Me
106,143,Destiny s Child,2000-01-08,44,Say My Name
107,149,Brad Paisley,2000-01-08,50,He Didn t Have To Be
110,176,Snoop Dogg Presents Tha Eastsidaz,2000-01-08,77,G d Up
111,180,Deborah Cox With R.L.,2000-01-08,81,We Can t Be Friends
113,187,Destiny s Child,2000-01-08,88,Bug A Boo
114,190,D Angelo,2000-01-08,91,Left
115,192,Kenny Chesney,2000-01-08,93,She Thinks My Tractor s Sexy
123,297,DMX,2000-01-15,98,What s My Name
129,376,D Angelo,2000-01-22,77,Untitled (How Does It Feel)
131,441,N Sync,2000-01-29,42,Bye Bye Bye
140,483,Aaliyah,2000-01-29,84,I Don t Wanna
142,578,Martina McBride,2000-02-05,79,Love s The Only House
149,664,Puff Daddy,2000-02-12,65,Best Friend
158,776,Hot Boys,2000-02-19,77,I Need A Hot Girl
162,786,Clint Black With Steve Wariner,2000-02-19,87,Been There
165,886,2Pac + Outlawz,2000-02-26,87,Baby Don t Cry (Keep Ya Head Up II)
167,892,Da Brat,2000-02-26,93,That s What I m Looking For
172,980,Kumbia Kings,2000-03-04,81,U Don t Love Me
174,986,Montgomery Gentry,2000-03-04,87,Daddy Won t Sell The Farm
178,1078,Kenny Rogers With Alison Krauss,2000-03-11,79,Buy Me A Rose
180,1080,Andy Griggs,2000-03-11,81,She s More
