,artist,date,ranking,title
0,Taylor Swift,2015-01-03,1,Blank Space
1,Hozier,2015-01-03,2,Take Me To Church
2,Mark Ronson,2015-01-03,3,Uptown Funk!
3,Ed Sheeran,2015-01-03,4,Thinking Out Loud
4,Meghan Trainor,2015-01-03,5,Lips Are Movin
5,Sam Smith,2015-01-03,6,I'm Not The Only One
6,Ariana Grande,2015-01-03,7,Love Me Harder
7,Nick Jonas,2015-01-03,8,Jealous
8,Maroon 5,2015-01-03,9,Animals
9,Meghan Trainor,2015-01-03,10,All About That Bass
10,Taylor Swift,2015-01-03,11,Shake It Off
11,Big Sean,2015-01-03,12,I Don't F**k With You
12,Selena Gomez,2015-01-03,13,The Heart Wants What It Wants
13,Matt McAndrew,2015-01-03,14,Wasted Love
14,Nicki Minaj,2015-01-03,15,Only
15,Tove Lo,2015-01-03,16,Habits (Stay High)
16,I LOVE MAKONNEN,2015-01-03,17,Tuesday
17,Mr. Probz,2015-01-03,18,Waves
18,Ed Sheeran,2015-01-03,19,Don't
19,Fall Out Boy,2015-01-03,20,Centuries
20,James Newton Howard,2015-01-03,21,The Hanging Tree
21,Jessie J,2015-01-03,22,Bang Bang
22,Rae Sremmurd,2015-01-03,23,No Type
23,Beyonce,2015-01-03,24,7/11
24,Bobby Shmurda,2015-01-03,25,Hot Boy
25,Calvin Harris,2015-01-03,26,Blame
26,Sam Smith,2015-01-03,27,Stay With Me
27,O.T. Genasis,2015-01-03,28,CoCo
28,Iggy Azalea,2015-01-03,29,Beg For It
29,Jeremih,2015-01-03,30,Don't Tell 'Em
30,Usher,2015-01-03,31,I Don't Mind
31,Vance Joy,2015-01-03,32,Riptide
32,Iggy Azalea,2015-01-03,33,Black Widow
33,Craig Wayne Boyd,2015-01-03,34,My Baby's Got A Smile On Her Face
34,Mariah Carey,2015-01-03,35,All I Want For Christmas Is You
35,Alesso,2015-01-03,36,Heroes (We Could Be)
36,Jason Derulo,2015-01-03,37,Trumpets
37,Tim McGraw,2015-01-03,38,Shotgun Rider
38,Milky Chance,2015-01-03,39,Stolen Dance
39,Sia,2015-01-03,40,Chandelier
40,Carrie Underwood,2015-01-03,41,Something In The Water
41,Ariana Grande,2015-01-03,42,Santa Tell Me
42,Nicki Minaj,2015-01-03,43,Feeling Myself
43,Rich Gang,2015-01-03,44,Lifestyle
44,Clean Bandit,2015-01-03,45,Rather Be
45,DeJ Loaf,2015-01-03,46,Try Me
46,Ella Henderson,2015-01-03,47,Ghost
47,Nicki Minaj,2015-01-03,48,Anaconda
48,MAGIC!,2015-01-03,49,Rude
49,One Direction,2015-01-03,50,Night Changes
50,Eric Church,2015-01-03,51,Talladega
51,Trey Songz,2015-01-03,52,"Touchin, Lovin"
52,Chris Jamison,2015-01-03,53,Velvet
53,DJ Khaled,2015-01-03,54,Hold You Down
54,Fergie,2015-01-03,55,L.A.LOVE (la la)
55,T.I.,2015-01-03,56,About The Money
56,Florida Georgia Line,2015-01-03,57,Sun Daze
57,Pentatonix,2015-01-03,58,"Mary, Did You Know?"
58,Brad Paisley,2015-01-03,59,Perfect Storm
59,Imagine Dragons,2015-01-03,60,I Bet My Life
60,Luke Bryan,2015-01-03,61,I See You
61,Nicki Minaj Featruing Skylar Grey,2015-01-03,62,Bed Of Lies
62,Chris Jamison,2015-01-03,63,Lost Without U
63,OneRepublic,2015-01-03,64,I Lived
64,Jessie J,2015-01-03,65,Masterpiece
65,Blake Shelton,2015-01-03,66,Lonely Tonight
66,Kenny Chesney,2015-01-03,67,Til It's Gone
67,David Guetta,2015-01-03,68,Dangerous
68,Lillywood,2015-01-03,69,Prayer In C
69,One Direction,2015-01-03,70,Steal My Girl
70,Parmalee,2015-01-03,71,Close Your Eyes
71,Lee Brice,2015-01-03,72,Drinking Class
72,Jason Aldean,2015-01-03,73,Just Gettin' Started
73,Damien,2015-01-03,74,Soldier
74,Fifth Harmony,2015-01-03,75,Sledgehammer
75,Thomas Rhett,2015-01-03,76,Make Me Wanna
76,Flo Rida,2015-01-03,77,G.D.F.R.
77,RaeLynn,2015-01-03,78,God Made Girls
78,Ne-Yo,2015-01-03,79,She Knows
79,Keith Urban,2015-01-03,80,Somewhere In My Car
80,The Weeknd,2015-01-03,81,Often
81,Brett Eldredge,2015-01-03,82,Mean To Me
82,Matt McAndrew,2015-01-03,83,Lost Stars
83,Maddie,2015-01-03,84,Girl In A Country Song
84,Colbie Caillat,2015-01-03,85,Try
85,WALK THE MOON,2015-01-03,86,Shut Up And Dance
86,Pitbull,2015-01-03,87,Time Of Our Lives
87,Nicki Minaj,2015-01-03,88,Get On Your Knees
88,Beyonce,2015-01-03,89,***Flawless
89,J. Cole,2015-01-03,90,Apparently
90,Randy Houser,2015-01-03,91,Like A Cowboy
91,Kid Ink,2015-01-03,92,Body Language
92,August Alsina,2015-01-03,93,No Love
93,Charli XCX,2015-01-03,94,Break The Rules
94,Chris Young,2015-01-03,95,Lonely Eyes
95,Pitbull,2015-01-03,96,Fireball
96,Darius Rucker,2015-01-03,97,Homegrown Honey
97,J. Cole,2015-01-03,98,Wet Dreamz
98,Lorde,2015-01-03,99,Yellow Flicker Beat
99,Nico,2015-01-03,100,In Your Arms
148,The Weeknd,2015-01-10,49,Earned It (Fifty Shades Of Grey)
163,Meghan Trainor,2015-01-10,64,Dear Future Husband
177,Taylor Swift,2015-01-10,78,Bad Blood
179,Nicki Minaj,2015-01-10,80,Bed Of Lies
183,Taylor Swift,2015-01-10,84,Style
186,Jessie J,2015-01-10,87,Burnin' Up
191,Shawn Mendes,2015-01-10,92,Something Big
192,Prince Royce,2015-01-10,93,Stuck On A Feeling
194,French Montana,2015-01-10,95,Bad B*tch
196,Blake Shelton,2015-01-10,97,Neon Light
197,Becky G,2015-01-10,98,Can't Stop Dancin'
198,Juicy J,2015-01-10,99,Shell Shocked
199,Meghan Trainor,2015-01-10,100,Title
234,Kanye West,2015-01-17,35,Only One
289,Calvin Harris,2015-01-17,90,Outside
291,Rae Sremmurd,2015-01-17,92,Throw Sum Mo
292,Sam Hunt,2015-01-17,93,Take Your Time
294,Jake Owen,2015-01-17,95,What We Ain't Got
295,Sheppard,2015-01-17,96,Geronimo
296,Tyler Farr,2015-01-17,97,A Guy Walks Into A Bar
297,Chase Bryant,2015-01-17,98,Take It On Back
298,Cole Swindell,2015-01-17,99,Ain't Worth The Whiskey
299,G-Eazy,2015-01-17,100,I Mean It
316,Sia,2015-01-24,17,Elastic Heart
339,Chris Brown,2015-01-24,40,Ayo
344,Ellie Goulding,2015-01-24,45,Love Me Like You Do
376,Fall Out Boy,2015-01-24,77,Irresistible
386,Sophia Grace,2015-01-24,87,Best Friends
389,I Prevail,2015-01-24,90,Blank Space
395,B.o.B,2015-01-24,96,Not For Long
397,Omarion,2015-01-24,98,Post To Be
399,Hoodie Allen,2015-01-24,100,All About It
407,Maroon 5,2015-01-31,8,Sugar
436,Kelly Clarkson,2015-01-31,37,Heartbeat Song
447,Zac Brown Band,2015-01-31,48,Homegrown
472,Fall Out Boy,2015-01-31,73,Uma Thurman
491,Common,2015-01-31,92,Glory
495,Dierks Bentley,2015-01-31,96,Say You Do
497,Wale,2015-01-31,98,The Body
553,Rihanna,2015-02-07,54,FourFiveSeconds
570,Nicki Minaj,2015-02-07,71,Truffle Butter
581,Fifth Harmony,2015-02-07,82,Worth It
585,Fetty Wap,2015-02-07,86,Trap Queen
593,Natalie La Rose,2015-02-07,94,Somebody
595,Fall Out Boy,2015-02-07,96,Immortals
598,Trey Songz,2015-02-07,99,Slow Motion
674,Imagine Dragons,2015-02-14,75,Shots
680,George Ezra,2015-02-14,81,Budapest
691,Nick Jonas,2015-02-14,92,Chains
694,Tove Lo,2015-02-14,95,Talking Body
695,Ciara,2015-02-14,96,I Bet
734,"Missy ""Misdemeanor"" Elliott",2015-02-21,35,Work It
739,"Missy ""Misdemeanor"" Elliott",2015-02-21,40,Get Ur Freak On
753,Big Sean,2015-02-21,54,Blessings
774,Sam Smith,2015-02-21,75,Lay Me Down
793,Shawn Mendes,2015-02-21,94,A Little Too Much
795,Kid Ink,2015-02-21,96,Hotel
797,A-Trak + Milo,2015-02-21,98,Out The Speakers
799,Little Big Town,2015-02-21,100,Girl Crush
848,Drake,2015-02-28,49,Energy
875,Miranda Lambert,2015-02-28,76,Little Red Wagon
879,Ariana Grande,2015-02-28,80,One Last Time
884,Drake,2015-02-28,85,Preach
885,Drake,2015-02-28,86,Legend
887,Drake,2015-02-28,88,10 Bands
890,Drake,2015-02-28,91,Used To
894,The Weeknd,2015-02-28,95,Where You Belong
