,artist,date,ranking,title
43097,Rascal Flatts,2008-03-29,98,Every Day
43160,Flo Rida,2008-04-05,61,Roll
43167,Madonna,2008-04-05,68,4 Minutes
43183,Ferras,2008-04-05,84,Hollywood's Not America
43187,Gnarls Barkley,2008-04-05,88,Going On
43195,Ne-Yo,2008-04-05,96,Go On Girl
43221,Fall Out Boy,2008-04-12,22,Beat It
43253,Nelly,2008-04-12,54,Party People
43254,Plies,2008-04-12,55,Bust It Baby (Part 2)
43272,Disturbed,2008-04-12,73,Inside The Fire
43278,DAY26,2008-04-12,79,Got Me Going
43288,Death Cab For Cutie,2008-04-12,89,I Will Possess Your Heart
43336,Radiohead,2008-04-19,37,Nude
43381,Josh Gracin,2008-04-19,82,We Weren't Crazy
43384,R.E.M.,2008-04-19,85,Supernatural Superserious
43385,Carrie Underwood,2008-04-19,86,Last Name
43387,Metro Station,2008-04-19,88,Shake It
43389,Raheem DeVaughn,2008-04-19,90,Customer
43391,Dierks Bentley,2008-04-19,92,Trying To Stop Your Leaving
43393,C-Side,2008-04-19,94,Boyfriend/Girlfriend
43394,Trey Songz,2008-04-19,95,Last Time
43395,Kellie Pickler,2008-04-19,96,Things That Never Cross A Man's Mind
43396,Michael Buble,2008-04-19,97,Lost
43397,Montgomery Gentry,2008-04-19,98,Back When I Knew It All
43417,Daughtry,2008-04-26,18,What About Now
43426,Carrie Underwood,2008-04-26,27,Praying For Time
43442,American Idol Top 8,2008-04-26,43,Shout To The Lord
43461,Leona Lewis,2008-04-26,62,Better In Time
43479,Annie Lennox,2008-04-26,80,Many Rivers To Cross
43486,Kenny Chesney,2008-04-26,87,Better As A Memory
43490,Blake Shelton,2008-04-26,91,Home
43496,Rihanna,2008-04-26,97,Take A Bow
43499,Flobots,2008-04-26,100,Handlebars
43522,Mariah Carey,2008-05-03,23,Bye Bye
43591,Mariah Carey,2008-05-03,92,Migrate
43592,Jason Mraz,2008-05-03,93,I'm Yours
43594,Ne-Yo,2008-05-03,95,Closer
43596,Seether,2008-05-03,97,Rise Above This
43597,Estelle,2008-05-03,98,American Boy
43598,Chris Brown,2008-05-03,99,Take You Down
43608,Chris Brown,2008-05-10,9,Forever
43613,Jesse McCartney,2008-05-10,14,Leavin'
43659,Lil Wayne,2008-05-10,60,A Milli
43678,Usher Featurnig Beyonce,2008-05-10,79,"Love In This Club, Part II"
43683,Weezer,2008-05-10,84,Pork And Beans
43686,Duffy,2008-05-10,87,Mercy
43691,V.I.C.,2008-05-10,92,Get Silly
43694,G Unit,2008-05-10,95,I Like The Way She Do It
43695,Ashlee Simpson With Tom Higgenson,2008-05-10,96,Little Miss Obsessive
43696,The-Dream,2008-05-10,97,I Luv Your Girl
43756,Madonna,2008-05-17,57,Give It 2 Me
43758,Usher,2008-05-17,59,"Love In This Club, Part II"
43764,Busta Rhymes,2008-05-17,65,We Made It
43782,Keyshia Cole,2008-05-17,83,Heaven Sent
43787,Augustana,2008-05-17,88,Sweet And Low
43791,Sean Kingston,2008-05-17,92,There's Nothin
43792,The Ting Tings,2008-05-17,93,Shut Up And Let Me Go
43795,Colbie Caillat,2008-05-17,96,Dreams Collide
43799,Miranda Lambert,2008-05-17,100,Gunpowder & Lead
43814,Coldplay,2008-05-24,15,Viva La Vida
43839,Coldplay,2008-05-24,40,Violet Hill
43855,DJ Laz,2008-05-24,56,Move Shake Drop
43856,Maroon 5,2008-05-24,57,If I Never See Your Face Again
43871,T.I.,2008-05-24,72,No Matter What
43875,Katy Perry,2008-05-24,76,I Kissed A Girl
43877,Alicia Keys,2008-05-24,78,Teenage Love Affair
43890,Kardinal Offishall,2008-05-24,91,Dangerous
43896,David Banner,2008-05-24,97,Get Like Me
43898,Alan Jackson,2008-05-24,99,Good Time
43912,Plies,2008-05-31,13,Bust It Baby Part 2
43956,New Kids On The Block,2008-05-31,57,Summertime
43967,Kate Voegele,2008-05-31,68,Hallelujah
43978,Three 6 Mafia,2008-05-31,79,Lolli Lolli (Pop That Body)
43981,Jason Mraz,2008-05-31,82,Lucky
44002,David Cook,2008-06-07,3,The Time Of My Life
44014,David Cook,2008-06-07,15,Dream Big
44021,David Cook,2008-06-07,22,I Still Haven't Found What I'm Looking For
44027,David Cook,2008-06-07,28,The World I Know
44030,Usher,2008-06-07,31,Love In This Club Part II
44035,David Archuleta,2008-06-07,36,Imagine
44041,David Cook,2008-06-07,42,I Don't Want To Miss A Thing
44046,David Cook,2008-06-07,47,Billie Jean
44057,David Archuleta,2008-06-07,58,Don't Let The Sun Go Down On Me
44059,David Archuleta,2008-06-07,60,In This Moment
44066,David Cook,2008-06-07,67,Always Be My Baby
44072,David Cook,2008-06-07,73,Hello
44076,David Cook,2008-06-07,77,The Music Of The Night
44083,Taylor Swift,2008-06-07,84,Should've Said No
44087,Julianne Hough,2008-06-07,88,That Song In My Head
44091,David Cook,2008-06-07,92,Eleanor Rigby
44092,Lloyd,2008-06-07,93,Girls Around The World
44095,Kanye West,2008-06-07,96,Homecoming
44098,David Cook,2008-06-07,99,I'm Alive
44112,Lil Wayne,2008-06-14,13,Got Money
44171,Usher,2008-06-14,72,Moving Mountains
44175,The Pussycat Dolls,2008-06-14,76,When I Grow Up
44190,The Game,2008-06-14,91,Game's Pain
44196,Brooks,2008-06-14,97,Put A Girl In It
44197,David Guetta,2008-06-14,98,Love Is Gone
44199,Josh Turner,2008-06-14,100,Another Try
44235,Young Jeezy,2008-06-21,36,Put On
44271,Disturbed,2008-06-21,72,Indestructible
44275,Gavin Rossdale,2008-06-21,76,Love Remains The Same
44280,Lil Wayne,2008-06-21,81,You Ain't Got Nuthin
44283,Miley Cyrus,2008-06-21,84,7 Things
44285,Hot Stylz,2008-06-21,86,Lookin Boy
44291,Lil Wayne,2008-06-21,92,Mr. Carter
44297,Shwayze,2008-06-21,98,Buzzin'
44298,Paramore,2008-06-21,99,That's What You Get
44365,Lil Wayne,2008-06-28,66,3 Peat
44377,Nelly,2008-06-28,78,Body On Me
44384,Secondhand Serenade,2008-06-28,85,Fall For You
44387,Robin Thicke,2008-06-28,88,Magic
44393,Tyga,2008-06-28,94,Coconut Juice
44394,Marvin Sapp,2008-06-28,95,Never Would Have Made It
44395,Saving Abel,2008-06-28,96,Addicted
44397,Keith Anderson,2008-06-28,98,I Still Miss You
44410,Demi Lovato,2008-07-05,11,This Is Me
44417,Rihanna,2008-07-05,18,Disturbia
44419,Jonas Brothers,2008-07-05,20,Play My Music
44429,Joe Jonas,2008-07-05,30,Gotta Find You
44432,Cast Of Camp Rock,2008-07-05,33,We Rock
44437,Flo Rida,2008-07-05,38,In The Ayer
44487,Katy Perry,2008-07-05,88,Hot N Cold
44490,Sugarland,2008-07-05,91,All I Want To Do
44492,Keith Urban,2008-07-05,93,You Look Good In My Shirt
44493,Coldplay,2008-07-05,94,Lost!
44504,Jonas Brothers,2008-07-12,5,Burnin' Up
44542,Sugarland,2008-07-12,43,Life In A Northern Town
44564,Jessica Simpson,2008-07-12,65,Come On Over
44578,Jordin Sparks,2008-07-12,79,One Step At A Time
44587,Boys Like Girls,2008-07-12,88,Thunder
44593,Rehab,2008-07-12,94,Bartender Song (aka Sittin' At A Bar)
44594,Staind,2008-07-12,95,Believe
44598,Rick Ross,2008-07-12,99,Here I Am
44637,DJ Khaled,2008-07-19,38,Out Here Grindin
44650,John Mayer,2008-07-19,51,Free Fallin'
44679,Kid Rock,2008-07-19,80,All Summer Long
44687,Vanessa Hudgens,2008-07-19,88,Sneakernight
44697,The Lost Trailers,2008-07-19,98,Holler Back
44738,DJ Khaled Feat. Akon,2008-07-26,39,Out Here Grindin
